窝轮名称,窝轮代码,振幅,成交量(千),距今天数,单手价格,行权价差,正股价格,打和点价差,涨跌幅
腾讯国君二一购A.C,HK.28870,0,1150,153,500,240.78,438.6,245.78,0
腾讯汇丰一乙购B.C,HK.21793,0,200,149,500,240.28,438.6,245.28,0
恒指汇丰一乙购A.C,HK.22573,10,2340,147,100,7499,25389,7589,0
恒指汇丰一乙购C.C,HK.29374,50,11200,147,100,6611,25389,6676,0
阿里法兴一乙购A.C,HK.14285,41.667,1080,149,110,105.78,183.1,106.88,-9.09
腾讯瑞信二三购B.C,HK.25244,0,630,237,60,271.9,438.6,277.9,0
阿里麦银二一购A.C,HK.13784,0,20,153,120,95.78,183.1,96.98,16.67
恒指瑞银一乙购B.C,HK.21944,0,80,147,120,8611,25389,8671,-25
平安高盛一乙购C.C,HK.19697,0,25,145,325,34.14,65.9,34.79,7.69
恒指法兴一乙购B.C,HK.13594,16.667,1000,147,130,6711,25389,6802,7.69
腾讯摩通二三购B.C,HK.20297,13.333,260,240,70,271.9,438.6,278.9,-7.14
腾讯法巴二四购A.C,HK.22381,0,35,244,75,271.4,438.6,278.9,0
恒指法巴一乙购B.C,HK.22366,6.667,590,147,150,6611,25389,6716,0
恒指法巴一乙购C.C,HK.22376,0,100,147,150,7611,25389,7693.5,6.67
恒指汇丰一乙购F.C,HK.19438,0,10,147,150,8411,25389,8486,20
腾讯瑞银二三购A.C,HK.28403,0,500,237,80,271.9,438.6,279.9,0
恒指海通一乙购D.C,HK.12759,7.692,2100,147,160,8499,25389,8579,18.75
恒指瑞银一乙购A.C,HK.19358,7.143,290,147,160,6611,25389,6715,12.5
恒指中银一乙购D.C,HK.14976,31.579,3850,147,160,5211,25389,5323,-18.75
腾讯国君一乙购A.C,HK.21645,52.381,13800,147,850,142.78,438.6,151.28,-23.53
阿里瑞信一乙购D.C,HK.20853,0,5090,145,170,87.1,183.1,88.8,11.76
联想花旗二一购A.C,HK.22684,0,80,180,360,4.1,7.2,4.28,0
恒指法巴一乙购A.C,HK.21433,5.263,400,147,180,6611,25389,6728,-5.56
阿里瑞银一乙购C.C,HK.23452,23.529,960,145,190,95.98,183.1,97.88,10.53
友邦汇丰一乙购B.C,HK.14343,39.286,27520,149,190,24.28,87.1,25.23,-47.37
洋保摩通一乙购A.C,HK.14559,17.647,10022,149,38,8.8,21.5,8.99,10.53
联想汇丰二二购B.C,HK.12536,10,2400,182,380,4.08,7.2,4.27,-5.26
联想瑞银二一购A.C,HK.22976,17.647,3040,175,380,4.1,7.2,4.29,10.53
阿里法兴二一购A.C,HK.25211,25,2500,153,200,86.9,183.1,88.9,0
友邦花旗一乙购B.C,HK.13079,7.692,2620,147,200,24.38,87.1,25.38,-30
平安高盛二乙购C.C,HK.18001,13.636,1400,504,500,34.2,65.9,35.2,-10
恒指中银一乙购C.C,HK.24098,26.667,6740,147,200,5711,25389,5831,25
友邦摩通一乙购B.C,HK.11093,13.793,10950,149,210,24.31,87.1,25.36,-38.1
恒指汇丰一乙购B.C,HK.22369,25,27530,147,210,5611,25389,5737,-14.29
